location_name,poll,rsquared_testing,delta_observed,delta_trend,delta_weather
Agra,pm25,0.8849293883988324,1.541484970443662,-0.22940159496482693,1.7708865654084889
Ahmedabad,pm25,0.7279707357191948,-6.193033477859608,-1.0995594798664072,-5.0934739979932
Alwar,pm25,0.5873377692170009,-2.207011735463041,-0.7494433931825029,-1.4575683422805383
Amaravati,pm25,0.8284444374125183,0.631795139851679,2.334485677452143,-1.7026905376004642
Amritsar,pm25,0.6593813457202687,-2.920954620524256,0.3449977559531163,-3.2659523764773724
Asanol,pm25,0.8598174890403103,-8.654413458169508,-3.6828115313989898,-4.971601926770518
Aurangabad,pm25,0.7265695606182345,-0.2908025617549441,-0.13943858036804357,-0.15136398138690055
Baddi,pm25,0.7251846424440512,-5.313802597043178,-3.116305924411371,-2.1974966726318073
Bangalore,pm25,0.6934269012684642,-1.0855794473998586,-0.24271449855100258,-0.842864948848856
Bhopal,pm25,0.7907317038137638,-1.1247265920256808,-1.94814707095869,0.8234204789330093
Chandigarh,pm25,0.7289332281278649,-0.38672559169162923,4.30246166255305,-4.689187254244679
Chandrapur,pm25,0.8055737981847494,-0.7164630452005127,0.0797189698496581,-0.7961820150501708
Chennai,pm25,0.6166693288588467,-1.3748370304682602,0.7007727828553563,-2.0756098133236165
Davanagere,pm25,0.792578773624103,2.095975261839154,2.783185097136947,-0.6872098352977929
Delhi,pm25,0.8705418660460442,0.44261882511172246,-0.04905251647095099,0.49167134158267345
Durgapur,pm25,0.8024630699620505,-7.1596424795661875,-7.497881421660317,0.3382389420941294
Faridabad,pm25,0.7553106365869904,-4.955097247697509,-0.869853585848233,-4.085243661849276
Firozabad,pm25,0.7772574893436967,-2.2388042513453925,-4.046661557017252,1.8078573056718596
Gaya,pm25,0.681688005466771,-25.97336163973717,-18.059070392740026,-7.914291246997145
Ghaziabad,pm25,0.8804006645432815,-7.332553135625304,-7.449003150148968,0.11645001452366444
Gorakhpur,pm25,0.7711492773953643,12.745146992755615,8.977584937252104,3.767562055503511
Guwahati,pm25,0.9039549886349498,0.5474459694020766,0.07935524417029427,0.4680907252317823
Gwalior,pm25,0.8219043601339062,-10.052904037262714,-4.070533463394284,-5.98237057386843
Howrah,pm25,0.9295532159152823,-3.449699568374591,-4.6115466808912515,1.1618471125166607
Hyderabad,pm25,0.8465218453194523,-2.6766453866411624,-2.7223691601919526,0.04572377355079027
Jabalpur,pm25,0.8072591054107285,-10.428373674593423,-2.42756416384794,-8.000809510745484
Jaipur,pm25,0.667989123746355,0.48013051839878784,0.7865063223046818,-0.3063758039058939
Jalandhar,pm25,0.6871095030869228,-0.616623955549116,1.7762459213311814,-2.3928698768802974
Jhansi,pm25,0.7390727691589292,-1.2896539233626214,-1.8547586647914187,0.5651047414287973
Jodhpur,pm25,0.6847964327837429,-23.317958510264752,-19.364612575014725,-3.9533459352500273
Kanpur,pm25,0.8421670567738777,-9.815165299934769,-4.470349420264661,-5.344815879670108
Khanna,pm25,0.727336039101478,-3.7571280944441767,-0.8988538258900292,-2.8582742685541476
Kohima,pm25,0.8239931345076433,1.8208151814617715,2.7990433004798163,-0.9782281190180449
Kolkata,pm25,0.9272966221029681,-1.5542877388123344,-3.683775938673513,2.1294881998611785
Kota,pm25,0.8038245001123546,2.614606538405745,-0.1104945266276971,2.725101065033442
Lucknow,pm25,0.7905751871242523,-6.138445864989805,-1.154979185253218,-4.983466679736587
Ludhiana,pm25,0.659400834969625,-8.190202452379708,-0.938029628992652,-7.252172823387056
Mandigobindgarh,pm25,0.4114445172583579,-10.626693153091153,-5.2278059682897435,-5.39888718480141
Meerut,pm25,0.8225531499253481,-9.822769506235744,-4.835943620726326,-4.986825885509418
Mumbai,pm25,0.89221654938892,-11.753147724796733,-4.213195801401092,-7.539951923395641
Muradabad,pm25,0.7715476630244765,-1.869046172712416,-1.7853097825334387,-0.08373639017897716
Muzaffarpur,pm25,0.7816968399652753,-16.857888723660977,-10.79134322085585,-6.066545502805127
Nagpur,pm25,0.8103242707186844,-7.314748125400662,-1.0431552899929954,-6.271592835407667
Nashik,pm25,0.8217049663508289,-0.7172663017726819,1.2599242875688645,-1.9771905893415465
Noida,pm25,0.8219381191942996,2.8446089288748055,1.7196107078306966,1.124998221044109
Patiala,pm25,0.786879237005309,-3.5480535610448953,-2.2797740226083008,-1.2682795384365946
Patna,pm25,0.8367634603285194,-18.903474592924454,-7.764509162466865,-11.138965430457588
Rajamahendravaram,pm25,0.8223379413696281,2.5355265353812015,4.400718902276129,-1.8651923668949273
Sagar,pm25,0.7230529744802784,-1.2586198047733284,-0.3425873146457441,-0.9160324901275843
Solapur,pm25,0.7728797520775752,1.8474621301681253,0.7944406127782102,1.0530215173899151
Talcher,pm25,0.8776971521494805,17.02100538700119,16.250407302282767,0.7705980847184222
Udaipur,pm25,0.7178768395286313,-1.5126717153238047,-0.2550598775549986,-1.2576118377688061
Varanasi,pm25,0.8513247443309631,-8.682194761179897,-9.030652793105421,0.3484580319255244
Visakhapatnam,pm25,0.757268486890323,1.8105654497155328,0.20406004328312832,1.6065054064324045
