location_id,location_name,source,poll,variable,yoy,yoy_rel
kanpur_ind.34_1_in,Kanpur,cpcb,pm25,trend,-4.470349420264661,-0.0826978368337564
khanna_ind.28_1_in,Khanna,cpcb,pm25,observed,-3.7571280944441767,-0.08209892653032264
khanna_ind.28_1_in,Khanna,cpcb,pm25,trend,-0.8988538258900292,-0.021006045223318563
kohima_ind.24_1_in,Kohima,cpcb,pm25,observed,1.8208151814617715,0.057315385768163855
kohima_ind.24_1_in,Kohima,cpcb,pm25,trend,2.7990433004798163,0.09394835428287907
kolkata_ind.36_1_in,Kolkata,cpcb,pm25,observed,-1.5542877388123344,-0.031693597110145015
kolkata_ind.36_1_in,Kolkata,cpcb,pm25,trend,-3.683775938673513,-0.07581031664827617
kota_ind.29_1_in,Kota,cpcb,pm25,observed,2.614606538405745,0.043165572150670406
kota_ind.29_1_in,Kota,cpcb,pm25,trend,-0.1104945266276971,-0.0018795303059849292
lucknow_ind.34_1_in,Lucknow,cpcb,pm25,observed,-6.138445864989805,-0.09840288056600108
lucknow_ind.34_1_in,Lucknow,cpcb,pm25,trend,-1.154979185253218,-0.019682207419680815
ludhiana_ind.28_1_in,Ludhiana,cpcb,pm25,observed,-8.190202452379708,-0.12470031890136672
ludhiana_ind.28_1_in,Ludhiana,cpcb,pm25,trend,-0.938029628992652,-0.01564453884341434
mandigobindgarh_ind.28_1_in,Mandigobindgarh,cpcb,pm25,observed,-10.626693153091153,-0.1352778366664122
mandigobindgarh_ind.28_1_in,Mandigobindgarh,cpcb,pm25,trend,-5.2278059682897435,-0.07042960908005348
meerut_ind.34_1_in,Meerut,cpcb,pm25,observed,-9.822769506235744,-0.12400249178688916
meerut_ind.34_1_in,Meerut,cpcb,pm25,trend,-4.835943620726326,-0.06219910488462293
mumbai_ind.20_1_in,Mumbai,cpcb,pm25,observed,-11.753147724796733,-0.2309033561387607
mumbai_ind.20_1_in,Mumbai,cpcb,pm25,trend,-4.213195801401092,-0.09470834563113457
muradabad_ind.34_1_in,Muradabad,cpcb,pm25,observed,-1.869046172712416,-0.03725476798958239
muradabad_ind.34_1_in,Muradabad,cpcb,pm25,trend,-1.7853097825334387,-0.034861565086626446
muzaffarpur_ind.5_1_in,Muzaffarpur,cpcb,pm25,observed,-16.857888723660977,-0.18663206162641763
muzaffarpur_ind.5_1_in,Muzaffarpur,cpcb,pm25,trend,-10.79134322085585,-0.12135617409169008
nagpur_ind.20_1_in,Nagpur,cpcb,pm25,observed,-7.314748125400662,-0.12982124888949775
nagpur_ind.20_1_in,Nagpur,cpcb,pm25,trend,-1.0431552899929954,-0.020725736205669268
nashik_ind.20_1_in,Nashik,cpcb,pm25,observed,-0.7172663017726819,-0.018864633840835008
nashik_ind.20_1_in,Nashik,cpcb,pm25,trend,1.2599242875688645,0.03422916131902791
noida_ind.34_1_in,Noida,cpcb,pm25,observed,2.8446089288748055,0.03528205534369445
noida_ind.34_1_in,Noida,cpcb,pm25,trend,1.7196107078306966,0.021098245955459963
patiala_ind.28_1_in,Patiala,cpcb,pm25,observed,-3.5480535610448953,-0.07441392148318178
patiala_ind.28_1_in,Patiala,cpcb,pm25,trend,-2.2797740226083008,-0.04977032108961619
patna_ind.5_1_in,Patna,cpcb,pm25,observed,-18.903474592924454,-0.19115561472209572
patna_ind.5_1_in,Patna,cpcb,pm25,trend,-7.764509162466865,-0.08280776847959762
rajamahendravaram_ind.2_1_in,Rajamahendravaram,cpcb,pm25,observed,2.5355265353812015,0.07481425791623825
rajamahendravaram_ind.2_1_in,Rajamahendravaram,cpcb,pm25,trend,4.400718902276129,0.1410052155857517
sagar_ind.19_1_in,Sagar,cpcb,pm25,observed,-1.2586198047733284,-0.04005977399946748
sagar_ind.19_1_in,Sagar,cpcb,pm25,trend,-0.3425873146457441,-0.011971083555312168
solapur_ind.20_1_in,Solapur,cpcb,pm25,observed,1.8474621301681253,0.04636231847617969
solapur_ind.20_1_in,Solapur,cpcb,pm25,trend,0.7944406127782102,0.02005969345596803
talcher_ind.26_1_in,Talcher,cpcb,pm25,observed,17.02100538700119,0.37703136393519765
talcher_ind.26_1_in,Talcher,cpcb,pm25,trend,16.250407302282767,0.38784221838297983
udaipur_ind.29_1_in,Udaipur,cpcb,pm25,observed,-1.5126717153238047,-0.02883942831047194
udaipur_ind.29_1_in,Udaipur,cpcb,pm25,trend,-0.2550598775549986,-0.004950048858838642
varanasi_ind.34_1_in,Varanasi,cpcb,pm25,observed,-8.682194761179897,-0.26743864504079456
varanasi_ind.34_1_in,Varanasi,cpcb,pm25,trend,-9.030652793105421,-0.27785376971116077
visakhapatnam_ind.2_1_in,Visakhapatnam,cpcb,pm25,observed,1.8105654497155328,0.03690704048945908
visakhapatnam_ind.2_1_in,Visakhapatnam,cpcb,pm25,trend,0.20406004328312832,0.00423299863325515
