location_id,location_name,source,poll,variable,yoy,yoy_rel,rsquared_testing,rmse_testing
agra_ind.34_1_in,Agra,cpcb,no2,observed,-2.3718059514126395,-0.12335088630805983,0.91217779763032,4.951909552547353
agra_ind.34_1_in,Agra,cpcb,no2,trend,-1.080431520199049,-0.058126584715598964,0.91217779763032,4.951909552547353
ahmedabad_ind.11_1_in,Ahmedabad,cpcb,no2,observed,-10.636552880367418,-0.3676013579231689,0.9176593554309047,12.454055622275973
ahmedabad_ind.11_1_in,Ahmedabad,cpcb,no2,trend,-6.6133171425418595,-0.24494795021261526,0.9176593554309047,12.454055622275973
alwar_ind.29_1_in,Alwar,cpcb,no2,observed,14.898520787660345,0.6218414658707947,0.7612473029134713,7.008409670189504
alwar_ind.29_1_in,Alwar,cpcb,no2,trend,12.74606796654161,0.508145836308479,0.7612473029134713,7.008409670189504
amaravati_ind.2_1_in,Amaravati,cpcb,no2,observed,-0.2952510326552016,-0.02914031694137142,0.9043474038877122,3.281633296863008
amaravati_ind.2_1_in,Amaravati,cpcb,no2,trend,-0.06929040283747767,-0.007082411341681987,0.9043474038877122,3.281633296863008
amritsar_ind.28_1_in,Amritsar,cpcb,no2,observed,-17.47042577205255,-0.46220883517958244,0.6073460416588301,9.697630978135786
amritsar_ind.28_1_in,Amritsar,cpcb,no2,trend,-16.486225747567346,-0.4446397540329051,0.6073460416588301,9.697630978135786
asanol_ind.36_1_in,Asanol,cpcb,no2,observed,-12.105609925160131,-0.29869379353733994,0.8356773423061403,6.76345773090225
asanol_ind.36_1_in,Asanol,cpcb,no2,trend,-7.8263306096459395,-0.21667766917699854,0.8356773423061403,6.76345773090225
aurangabad_ind.20_1_in,Aurangabad,cpcb,no2,observed,5.371866339531579,0.2741119330682658,0.87689664936254,4.509958173475637
aurangabad_ind.20_1_in,Aurangabad,cpcb,no2,trend,5.6101784186803485,0.30518960101166115,0.87689664936254,4.509958173475637
bangalore_ind.16_1_in,Bangalore,cpcb,no2,observed,-3.20688093157397,-0.14957793591397825,0.7961496198852416,3.8100987253369536
bangalore_ind.16_1_in,Bangalore,cpcb,no2,trend,-2.1562344940505334,-0.10372734280631751,0.7961496198852416,3.8100987253369536
chandigarh_ind.6_1_in,Chandigarh,cpcb,no2,observed,-6.848735961305671,-0.19711578395142088,0.8005946007440528,6.289197133083217
chandigarh_ind.6_1_in,Chandigarh,cpcb,no2,trend,-6.802821887023029,-0.2009072423574211,0.8005946007440528,6.289197133083217
chandrapur_ind.20_1_in,Chandrapur,cpcb,no2,observed,-10.179092462768203,-0.3468629844704984,0.8368655747221918,3.993157219630106
