location_id,location_name,source,poll,variable,yoy,yoy_rel,rsquared_testing,rmse_testing,period
ahmedabad_ind.11_1_in,Ahmedabad,cpcb,pm10,observed,-19.639092126947716,-0.15807757647449375,0.7135056267693027,31.926631587917026,FY 2020-2021 to FY 2023-2024
ahmedabad_ind.11_1_in,Ahmedabad,cpcb,pm10,trend,-8.623322001464487,-0.07637277375403069,0.7135056267693027,31.926631587917026,FY 2020-2021 to FY 2023-2024
amritsar_ind.28_1_in,Amritsar,cpcb,pm10,observed,10.30144319619616,0.10577237236583929,0.7175104377680632,29.227867262988674,FY 2020-2021 to FY 2023-2024
amritsar_ind.28_1_in,Amritsar,cpcb,pm10,trend,6.717648689869961,0.06790922740114921,0.7175104377680632,29.227867262988674,FY 2020-2021 to FY 2023-2024
asanol_ind.36_1_in,Asanol,cpcb,pm10,observed,-6.0518542569726606,-0.05099474390882082,0.8895221540859161,25.62253765901784,FY 2020-2021 to FY 2023-2024
asanol_ind.36_1_in,Asanol,cpcb,pm10,trend,0.5830416325002261,0.0052026333767633175,0.8895221540859161,25.62253765901784,FY 2020-2021 to FY 2023-2024
aurangabad_ind.20_1_in,Aurangabad,cpcb,pm10,observed,34.11067965759224,0.5261804676904303,0.6451429401877178,23.827341380813824,FY 2020-2021 to FY 2023-2024
aurangabad_ind.20_1_in,Aurangabad,cpcb,pm10,trend,30.2281578766096,0.45412869974410425,0.6451429401877178,23.827341380813824,FY 2020-2021 to FY 2023-2024
bangalore_ind.16_1_in,Bangalore,cpcb,pm10,observed,8.511387671677262,0.13376955660385453,0.7067599786179837,14.999234416612738,FY 2020-2021 to FY 2023-2024
bangalore_ind.16_1_in,Bangalore,cpcb,pm10,trend,5.148318313682708,0.07775190802614862,0.7067599786179837,14.999234416612738,FY 2020-2021 to FY 2023-2024
bhopal_ind.19_1_in,Bhopal,cpcb,pm10,observed,1.2846913951558179,0.011886187311890109,0.7624141512528531,25.49953082725088,FY 2020-2021 to FY 2023-2024
bhopal_ind.19_1_in,Bhopal,cpcb,pm10,trend,-3.401383192942049,-0.03079326224507706,0.7624141512528531,25.49953082725088,FY 2020-2021 to FY 2023-2024
chandigarh_ind.6_1_in,Chandigarh,cpcb,pm10,observed,38.79239973412233,0.4502921314597291,0.7599550726740627,26.70388542999828,FY 2020-2021 to FY 2023-2024
chandigarh_ind.6_1_in,Chandigarh,cpcb,pm10,trend,35.124220972998444,0.40720692047624063,0.7599550726740627,26.70388542999828,FY 2020-2021 to FY 2023-2024
chandrapur_ind.20_1_in,Chandrapur,cpcb,pm10,observed,3.5239700292296874,0.04212378485320772,0.7091162280233627,28.5119631090105,FY 2020-2021 to FY 2023-2024
chandrapur_ind.20_1_in,Chandrapur,cpcb,pm10,trend,6.317025231015776,0.07941457302675874,0.7091162280233627,28.5119631090105,FY 2020-2021 to FY 2023-2024
delhi_ind.25_1_in,Delhi,cpcb,pm10,observed,6.8556016493633365,0.034168088248559936,0.7975653860625986,51.18343451663705,FY 2020-2021 to FY 2023-2024
