location_id,location_name,source,poll,variable,yoy,yoy_rel,rsquared_testing,rmse_testing,period
agra_ind.34_1_in,Agra,cpcb,pm10,observed,3.439922280259424,0.042502197484253684,0.8361325190797144,21.087435296139343,FY 2022-2023 to FY 2023-2024
agra_ind.34_1_in,Agra,cpcb,pm10,trend,2.774270451017273,0.03551684714734197,0.8361325190797144,21.087435296139343,FY 2022-2023 to FY 2023-2024
ahmedabad_ind.11_1_in,Ahmedabad,cpcb,pm10,observed,-6.921823283404365,-0.06207992461255341,0.6253355438131649,34.36354868578365,FY 2022-2023 to FY 2023-2024
ahmedabad_ind.11_1_in,Ahmedabad,cpcb,pm10,trend,-2.2998059036931693,-0.02162776600425822,0.6253355438131649,34.36354868578365,FY 2022-2023 to FY 2023-2024
alwar_ind.29_1_in,Alwar,cpcb,pm10,observed,-4.351298617745698,-0.047789467535235615,0.6931803906558025,20.380197804868647,FY 2022-2023 to FY 2023-2024
alwar_ind.29_1_in,Alwar,cpcb,pm10,trend,-1.1413618452128844,-0.012849356937259485,0.6931803906558025,20.380197804868647,FY 2022-2023 to FY 2023-2024
amritsar_ind.28_1_in,Amritsar,cpcb,pm10,observed,0.25280915573696916,0.002350293892332752,0.6243097465093712,37.27962803047114,FY 2022-2023 to FY 2023-2024
amritsar_ind.28_1_in,Amritsar,cpcb,pm10,trend,1.7779050322436944,0.0170691192144455,0.6243097465093712,37.27962803047114,FY 2022-2023 to FY 2023-2024
asanol_ind.36_1_in,Asanol,cpcb,pm10,observed,-41.236724850388114,-0.26801300440016934,0.8894762222464964,25.56342513270459,FY 2022-2023 to FY 2023-2024
asanol_ind.36_1_in,Asanol,cpcb,pm10,trend,-31.32581153436216,-0.21708891177485656,0.8894762222464964,25.56342513270459,FY 2022-2023 to FY 2023-2024
aurangabad_ind.20_1_in,Aurangabad,cpcb,pm10,observed,-15.027758299767996,-0.13299068318014867,0.7053254768554014,19.23062501002666,FY 2022-2023 to FY 2023-2024
aurangabad_ind.20_1_in,Aurangabad,cpcb,pm10,trend,-12.795964339715411,-0.11689285851835705,0.7053254768554014,19.23062501002666,FY 2022-2023 to FY 2023-2024
baddi_ind.13_1_in,Baddi,cpcb,pm10,observed,-15.603478981365924,-0.10001375901733318,0.7056178929363975,45.142789562598416,FY 2022-2023 to FY 2023-2024
baddi_ind.13_1_in,Baddi,cpcb,pm10,trend,-18.235704774512385,-0.11953217316230391,0.7056178929363975,45.142789562598416,FY 2022-2023 to FY 2023-2024
bangalore_ind.16_1_in,Bangalore,cpcb,pm10,observed,1.2958575662061804,0.01831669960570065,0.6985506237511295,15.383591692788974,FY 2022-2023 to FY 2023-2024
bangalore_ind.16_1_in,Bangalore,cpcb,pm10,trend,0.9550560992588828,0.013577838885991156,0.6985506237511295,15.383591692788974,FY 2022-2023 to FY 2023-2024
bhopal_ind.19_1_in,Bhopal,cpcb,pm10,observed,-13.781288045634597,-0.11143492784061523,0.7614890899828703,25.543054535670716,FY 2022-2023 to FY 2023-2024
bhopal_ind.19_1_in,Bhopal,cpcb,pm10,trend,-10.106856064048614,-0.08570259044623275,0.7614890899828703,25.543054535670716,FY 2022-2023 to FY 2023-2024
chandigarh_ind.6_1_in,Chandigarh,cpcb,pm10,observed,4.219653581032588,0.034882145523359845,0.7597989651094136,26.715194816728445,FY 2022-2023 to FY 2023-2024
chandigarh_ind.6_1_in,Chandigarh,cpcb,pm10,trend,8.306627700550223,0.07343658806718355,0.7597989651094136,26.715194816728445,FY 2022-2023 to FY 2023-2024
