location_name,poll,rsquared_testing,delta_observed,delta_trend,delta_weather
Agra,no2,0.91217779763032,-2.3718059514126395,-1.080431520199049,-1.2913744312135904
Ahmedabad,no2,0.9176593554309047,-10.636552880367418,-6.6133171425418595,-4.0232357378255585
Alwar,no2,0.7612473029134713,14.898520787660345,12.74606796654161,2.152452821118736
Amaravati,no2,0.9043474038877122,-0.2952510326552016,-0.06929040283747767,-0.2259606298177239
Amritsar,no2,0.6073460416588301,-17.47042577205255,-16.486225747567346,-0.9842000244852045
Asanol,no2,0.8356773423061403,-12.105609925160131,-7.8263306096459395,-4.2792793155141915
Aurangabad,no2,0.87689664936254,5.371866339531579,5.6101784186803485,-0.23831207914876984
Bangalore,no2,0.7961496198852416,-3.20688093157397,-2.1562344940505334,-1.0506464375234366
Chandigarh,no2,0.8005946007440528,-6.848735961305671,-6.802821887023029,-0.04591407428264205
Chandrapur,no2,0.8368655747221918,-10.179092462768203,-8.802742720175871,-1.376349742592332
Chennai,no2,0.791368344634086,4.889649950567552,3.9771376603005884,0.9125122902669638
Delhi,no2,0.8887359584842689,-2.239672076433571,-2.8360819381627067,0.5964098617291356
Dewas,no2,0.849018739512261,-14.321211970311365,-12.216017248735344,-2.105194721576021
Durgapur,no2,0.9111904024590572,3.4903487777117697,1.97888811719314,1.5114606605186296
Faridabad,no2,0.8804770355468533,1.766651721447527,0.39858832374786957,1.3680633976996575
Firozabad,no2,0.8794293204959551,-15.41773360825926,-13.78306079624641,-1.63467281201285
Gaya,no2,0.8745197543095818,-12.138033352999809,-11.41519165972209,-0.7228416932777186
Ghaziabad,no2,0.9122827183315259,0.4424659559506523,1.7326670334713938,-1.2902010775207415
Guwahati,no2,0.8865918469576543,0.29871016137733175,0.6720415413238934,-0.3733313799465616
Gwalior,no2,0.9046133479609199,-8.19493505826047,-7.9171646951339945,-0.27777036312647496
Haldia,no2,0.8128321821673135,1.974632929498938,0.4723680906491694,1.5022648388497686
Howrah,no2,0.902277008268195,2.2256132642534894,2.4607533028446866,-0.23514003859119725
Hyderabad,no2,0.9312973454308252,0.5809071113071624,0.48929407450956397,0.09161303679759847
Indore,no2,0.8402637252742449,-16.48132955572794,-12.378251613152557,-4.103077942575382
Jabalpur,no2,0.8714393160454053,-14.36509007015097,-10.066116488156997,-4.298973581993973
Jaipur,no2,0.7925347440146099,-15.561474820521688,-11.556664237994823,-4.004810582526865
Jalandhar,no2,0.7055626669525248,-3.0928058130600284,-1.2818501247768062,-1.8109556882832223
Jhansi,no2,0.8459754754291957,0.18426689594431878,2.623713823726815,-2.4394469277824964
Jodhpur,no2,0.7673900436931861,-16.398609826979015,-13.786314158494744,-2.612295668484272
Kanpur,no2,0.8996197266266175,9.763064131830316,7.680281868236374,2.0827822635939413
Khanna,no2,0.7226727091039332,-0.9381346572519718,-0.4103795755511186,-0.5277550817008532
Kolkata,no2,0.9263067940403756,1.7244023095912944,-1.5541714492139498,3.278573758805244
Kota,no2,0.8280784290988282,16.13627920412213,12.444570546525586,3.6917086575965428
Lucknow,no2,0.8354155699498035,-10.887708422813532,-10.442094822242126,-0.44561360057140575
Ludhiana,no2,0.6167191485371101,0.4438477311690363,0.6848744298197964,-0.2410266986507601
Meerut,no2,0.8089615190001195,-9.81644035992614,-7.6446076556195734,-2.171832704306567
Mumbai,no2,0.8897764153628213,-6.517571920309916,-2.8967719327301147,-3.620799987579801
Muradabad,no2,0.9235833489303032,1.1337227857349923,0.9057126865959333,0.228010099139059
Muzaffarpur,no2,0.8690360607675536,-0.5030616367443415,-1.050609570196503,0.5475479334521616
Nagpur,no2,0.6924831853250389,-3.56192344034919,-0.49289515085344604,-3.069028289495744
Noida,no2,0.8371587032123398,16.138769472688665,12.824848338330433,3.3139211343582318
Patiala,no2,0.7184862926654524,1.0446936571022185,1.445122869128685,-0.40042921202646653
Rajamahendravaram,no2,0.8042513661345442,5.845572423485136,4.677280781133582,1.1682916423515533
Sagar,no2,0.7475573552116184,-2.6725394592452663,-1.423492662116237,-1.2490467971290293
Solapur,no2,0.8719674723665293,-2.556844836945217,-1.2080900704918918,-1.3487547664533253
Talcher,no2,0.8124818706750309,8.577630603837363,6.829410864820158,1.7482197390172054
Thane,no2,0.7428689624577219,-15.054941045930683,-10.75328793638958,-4.301653109541103
Udaipur,no2,0.6765264341002069,13.7857693976372,14.413442560616538,-0.6276731629793382
Varanasi,no2,0.9386855188303278,-11.865335614814462,-11.02464608295161,-0.8406895318628518
