poll,period,n,variable,value,share
pm10,FY 2022-2023 to FY 2023-2024,53,Non-weather factors,-6.679637406113325,0.7767913812901277
pm10,FY 2022-2023 to FY 2023-2024,53,Weather contribution,-1.9193733025527555,0.22320861870987224
